,author,keywords,pmc,pmid,prob,pubdate,title
14,SJ Commander; H Wu; F Boakye-Agyeman; C Melloni; CD Hornik; K Zimmerman; A Al-Uzri; SR Mendley; B Harper; M Cohen-Wolkowiez; CP Hornik; ,children; hydrochlorothiazide; obesity; pharmacokinetics,,33029806,0.9977251887321472,2021,Pharmacokinetics of Hydrochlorothiazide in Children: A Potential Surrogate for Renal Secretion Maturation.
15,RH Barbhaiya; RB Patel; HP Corrick-West; RS Joslin; PG Welling,,,7159688,0.9976361989974976,1982,"Comparative bioavailability and pharmacokinetics of hydrochlorothiazide from oral tablet dosage forms, determined by plasma level and urinary excretion methods."
16,A Sakarcan; F Tenney; JT Wilson; JJ Stewart; KG Adcock; TG Wells; NN Vachharajani; OW Hadjilambris; P Slugg; NF Ford; MR Marino,,,11452706,0.9976146221160889,2001,The pharmacokinetics of irbesartan in hypertensive children and adolescents.
17,T Heise; M Mattheus; HJ Woerle; UC Broedl; S Macha,drug−drug interaction; empagliflozin; hydrochlorothiazide; pharmacokinetic properties; torasemide,,25636696,0.9970096349716187,2015,"Assessing pharmacokinetic interactions between the sodium glucose cotransporter 2 inhibitor empagliflozin and hydrochlorothiazide or torasemide in patients with type 2 diabetes mellitus: a randomized, open-label, crossover study."
18,RH Barbhaiya; WA Craig; HP Corrick-West; PG Welling,,,7062255,0.9969983100891113,1982,Pharmacokinetics of hydrochlorothiazide in fasted and nonfasted subjects: a comparison of plasma level and urinary excretion methods.
19,M De Cicco; F Macor; I Robieux; G Zanette; D Fantin; F Fabiani; G Nicolosi; A Fracasso; G Toffoli; C Santantonio; C Lestuzzi; M Matovic; M Boiocchi,,,10075058,0.9967566132545471,1999,Pharmacokinetic and pharmacodynamic effects of high-dose continuous intravenous verapamil infusion: clinical experience in the intensive care unit.
20,MA Hedaya; SA Helmy,,,23795576,0.9965439438819885,2013,"Pharmacokinetic interactions of valsartan and hydrochlorothiazide: an open-label, randomized, 4-period crossover study in healthy Egyptian male volunteers."
21,MT Maya; NJ Goncalves; NE Silva; AE Filipe; JA Morais; MC Caturla; M Rovira,,,12064377,0.9964969754219055,2002,Comparative bioavailability of two immediate release tablets of enalapril/hydrochlorothiazide in healthy volunteers.
22,C Niemeyer; G Hasenfuss; U Wais; H Knauf; M Schäfer-Korting; E Mutschler,,,6873147,0.996488094329834,1983,Pharmacokinetics of hydrochlorothiazide in relation to renal function.
23,W Ji; YY Chen; JR Du; DK Yu; XY Zheng; F Yang; CX Yu; DS Li; CY Zhao; KY Qiao,,,19764575,0.9964543581008911,2009,[Antihypertensive effect and pharmacokinetics of low molecular mass potassium alginate].
24,K Breithaupt-Grögler; W Ungethüm; B Meurer-Witt; GG Belz,,,11549204,0.9963830709457397,2001,"Pharmacokinetic and dynamic interactions of the angiotensin-converting enzyme inhibitor imidapril with hydrochlorothiazide, bisoprolol and nilvadipine."
25,JW Chae; IH Baek; JW Seo; SH Jung; HM Back; BJ Song; BY Lee; HY Yun; W Kang; KI Kwon,,,24849193,0.9961979985237122,2014,Development of a population pharmacokinetic model to describe olmesartan medoxomil/ hydrochlorothiazide (20/12.5 mg) FDC tablet in male healthy South Korean subjects.
26,S Kumar; T Monif; A Khuroo; S Reyar; R Jain; AK Singla; K Kurachi,,,24290414,0.9961645603179932,2014,Pharmacokinetic comparison and bioequivalence evaluation of losartan/ hydrochlorothiazide tablet between Asian Indian and Japanese volunteers.
27,G Sunkara; X Jiang; C Reynolds; D Serra; Y Zhang; M Ligueros-Saylan; S Ayalasomayajula; S Winter; V Jarugula,amlodipine; fixed dose combination; food effect; valsartan and hydrochlorothiazide (HCTZ),,27129123,0.9961549639701843,2014,Effect of food on the oral bioavailability of amlodipine/valsartan and amlodipine/valsartan/hydrochlorothiazide fixed dose combination tablets in healthy subjects.
28,J Jiang; L Tian; Y Huang; S Xie; L Xu; H Liu; Y Li,,,22122818,0.9958594441413879,2011,Pharmacokinetic profiles of hydrochlorothiazide alone and in combination with benazepril or valsartan in healthy Chinese volunteers: evaluation of the potential interaction.
29,MS Laher; E Mulkerrins; J Hosie; PA Connell; RP Smith; AJ Swaisland,,,1665183,0.995699405670166,1991,The effects of age and renal impairment on the pharmacokinetics of co-administered lisinopril and hydrochlorothiazide.
30,P O'Grady; KF Yee; R Lins; B Mangold,,,10510149,0.9954307079315186,1999,Fosinopril/hydrochlorothiazide: single dose and steady-state pharmacokinetics and pharmacodynamics.
31,CL Young; VC Dias; J Stangier,,,11185630,0.9952878952026367,2000,Multiple-dose pharmacokinetics of telmisartan and of hydrochlorothiazide following concurrent administration in healthy subjects.
32,F Ndindayino; C Vervaet; G Van den Mooter; JP Remon,,,12270622,0.9949758052825928,2002,Bioavailability of hydrochlorothiazide from isomalt-based moulded tablets.
33,Z Ismail; EJ Triggs; BA Smithurst; W Parke,,,2792171,0.9949663281440735,1989,The pharmacokinetics of amiloride-hydrochlorothiazide combination in the young and elderly.
34,K Sabanathan; CM Castleden; HK Adam; J Ryan; TJ Fitzsimons,,,3582468,0.9949186444282532,1987,"A comparative study of the pharmacokinetics and pharmacodynamics of atenolol, hydrochlorothiazide and amiloride in normal young and elderly subjects and elderly hypertensive patients."
35,KA Khaled; YA Asiri; YM El-Sayed,,,11404027,0.9947600960731506,2001,In vivo evaluation of hydrochlorothiazide liquisolid tablets in beagle dogs.
36,SJ Moon; JY Jeon; KS Yu; MG Kim,Phase I; antihypertensive; drug–drug interaction; pharmacokinetics,,31564513,0.9945542812347412,2019,"Pharmacokinetic Interaction Among Telmisartan, Amlodipine, and Hydrochlorothiazide After a Single Oral Administration in Healthy Male Subjects."
37,MR Goldberg; FW Rockhold; WL Thompson; KA DeSante,,,2708546,0.9943941831588745,1989,"Clinical pharmacokinetics of pinacidil, a potassium channel opener, in hypertension."
38,B Gorain; H Choudhury; D Halder; AK Sarkar; P Sarkar; E Biswas; B Ghosh; TK Pal,,,23471702,0.9943665862083435,2013,A comparative pharmacokinetic study of a fixed dose combination for essential hypertensive patients: a randomized crossover study in healthy human volunteers.
39,J Qin; L Wang; Y Bai; Y Li; Y Jing; L Han; J Wang,Zhenju antihypertensive compound; bioavailability; Caco-2 cell; hydrochlorothiazide; in situ intestinal perfusion,,24392686,0.9943154454231262,2014,Enhanced absorption and bioavailability of hydrochlorothiazide by Chinese medicines in the Zhenju antihypertensive compound.
40,DA Smith; EW Cleary; S Watkins; CS Huffman; SC Dilzer; KC Lasseter,,,9725543,0.9941986799240112,1998,"Pharmacokinetics and pharmacodynamics of zolmitriptan in patients with mild to moderate hypertension: a double-blind, placebo-controlled study."
41,B Beermann; M Groschinsky-Grind,,,465280,0.994176983833313,1979,Pharmacokinetics of hydrochlorothiazide in patients with congestive heart failure.
42,I Niopas; AC Daftsios; N Nikolaidis,,,15112862,0.9939934611320496,2004,Evaluation of the bioequivalence of two tablet formulations of enalapril/hydrochlorothiazide after single oral administration to healthy volunteers.
43,Y Wei; YY Sun; KS Wang; DL Sun; MY Zheng,,,22007522,0.9937432408332825,2011,Pharmacokinetics of the combined preparation of lisinopril and hydrochlorothiazide on Chinese healthy volunteers.
44,HD Uderman; DR Much; J Brennan; CL Delaney; EA Morgenthien; J Weaver; BC Stouffer; SY Chang; D VanHarken; W Liao,,,10369612,0.9936961531639099,1999,Fosinopril and hydrochlorothiazide combination versus individual components: lack of a pharmacokinetic interaction.
45,J Jung; S Lee; J Oh; S Lee; IJ Jang; D Lee; KS Yu,Amlodipine; Fimasartan; Fixed-dose Combination; Hydrochlorothiazide; Pharmacokinetics,,33855001,0.9935188889503479,2021,Pharmacokinetic comparison between a fixed-dose combination of fimasartan/amlodipine/hydrochlorothiazide 60/10/25 mg and a corresponding loose combination of fimasartan/amlodipine 60/25 mg and hydrochlorothiazide 25 mg in healthy subjects.
46,P Lundborg; B Abrahamsson; I Wieselgren; M Walter,,,8223839,0.9933454990386963,1993,The pharmacokinetics and pharmacodynamics of metoprolol after conventional and controlled-release administration in combination with hydrochlorothiazide in healthy volunteers.
47,P Bhad; S Ayalasomayajula; R Karan; S Leon; GJ Riviere; G Sunkara; V Jarugula,,,20852001,0.9930572509765625,2011,"Evaluation of pharmacokinetic interactions between amlodipine, valsartan, and hydrochlorothiazide in patients with hypertension."
48,L Jordö; G Johnsson; P Lundborg; BA Persson; CG Regärdh; O Rönn,,,465277,0.9927839040756226,1979,Bioavailability and disposition of metoprolol and hydrochlorothiazide combined in one tablet and of separate doses of hydrochlorothiazide.
49,P Gu; RJ Liu; ML Cheng; Y Wu; L Zheng; YJ Liu; PC Ma; L Ding,Chlorogenic acid; LC-MS/MS; Pharmacokinetics; Shuanghua Baihe tablets; Taurocholic acid,,27114321,0.9927101135253906,2016,Simultaneous quantification of chlorogenic acid and taurocholic acid in human plasma by LC-MS/MS and its application to a pharmacokinetic study after oral administration of Shuanghua Baihe tablets.
50,P Manitpisitkul; CR Curtin; K Shalayda; SS Wang; L Ford; D Heald,diltiazem; drug-drug interactions; hydrochlorothiazide; pharmacokinetics; propranolol; topiramate,,27129011,0.992418646812439,2014,"Pharmacokinetic interactions between topiramate and diltiazem, hydrochlorothiazide, or propranolol."
51,D Fliser; I Bischoff; A Hanses; S Block; M Joest; E Ritz; E Mutschler,,,10379636,0.9919639825820923,1999,Renal handling of drugs in the healthy elderly. Creatinine clearance underestimates renal function and pharmacokinetics remain virtually unchanged.
52,L Ngo; HY Cho; YB Lee,Drug-drug interaction; Fixed-dose combination; NONMEM; Population pharmacokinetics; Valsartan,,29604332,0.9916566610336304,2018,Effects of hydrochlorothiazide and amlodipine on single oral dose pharmacokinetics of valsartan in healthy Korean subjects: Population model-based approach.
53,L Sasongko; Y Harahap; B Prasaja; W Lusthom; EC Setiawan; RS Meliala; Lipin,,,21265466,0.991449773311615,2010,Comparative bioavailability of two irbesartan/hydrochlorothiazide tablet formulations in Indonesian healthy subjects.
54,SA Van Wart; SE Shoaf; S Mallikaarjun; DE Mager,heart failure; hydrochlorothiazide; population pharmacokinetics,,24123104,0.9911581873893738,2013,Population-based meta-analysis of hydrochlorothiazide pharmacokinetics.
55,C Jin; JY Jeon; YJ Im; JA Jung; Y Kim; K Park; Y Choi; SW Chae; MG Kim,,,24290413,0.9902832508087158,2014,Pharmacokinetic properties and bioequivalence of olmesartan medoxomil/hydrochlorothiazide in healthy Korean male subjects.
56,A Kher; JP Fillastre; JB Fourtillan; MA Lefebvre; I Ingrand,,,6510465,0.9900043606758118,1984,Pharmacokinetics of a fixed combination of sotalol and hydrochlorothiazide in hypertensive patients with moderate renal insufficiency.
57,RB Patel; UR Patel; MC Rogge; VP Shah; VK Prasad; A Selen; PG Welling,,,6716243,0.9898513555526733,1984,Bioavailability of hydrochlorothiazide from tablets and suspensions.
58,H Sundquist; M Anttila; A Simon; JW Reich,,,489773,0.9897202849388123,1979,Comparative bioavailability and pharmacokinetics of sotalol administered alone and in combination with hydrochlorothiazide.
59,B Grabowski; R Khosravan; JT Wu; L Vernillet; C Lademacher,,,20642548,0.9888050556182861,2010,"Effect of hydrochlorothiazide on the pharmacokinetics and pharmacodynamics of febuxostat, a non-purine selective inhibitor of xanthine oxidase."
60,JF Giudicelli; C Richer; A Mattei,,,3034318,0.9886256456375122,1987,Pharmacokinetics and biological effects of captopril and hydrochlorothiazide after acute and chronic administration either alone or in combination in hypertensive patients.
61,JG Aberg; B Olofsson; BW Karlson,,,22122817,0.9876188039779663,2011,Pharmacokinetic interaction study with fixed high dose combinations of candesartan cilexetil and hydrochlorothiazide.
62,W Mühlberg,,,2640087,0.9873098731040955,1989,Pharmacokinetics of diuretics in geriatric patients.
63,P Grass; C Gerbeau; K Kutz,,,8061850,0.9865208864212036,1994,Spirapril: pharmacokinetic properties and drug interactions.
64,TZ Dickson; J Zagrobelny; CC Lin; MA Ritter; D Snavely; D Ramjit; S Shahinfar; MW Lo,,,12817522,0.9862237572669983,2003,"Pharmacokinetics, safety, and antihypertensive efficacy of losartan in combination with hydrochlorothiazide in hypertensive patients with renal impairment."
65,F Sörgel; J Hasegawa; ET Lin; RL Williams,,,4028626,0.9860828518867493,1985,Oral triamterene disposition.
66,S Vaidyanathan; J Valencia; C Kemp; C Zhao; CM Yeh; MN Bizot; J Denouel; HA Dieterich; WP Dole,,,17073832,0.9859618544578552,2006,"Lack of pharmacokinetic interactions of aliskiren, a novel direct renin inhibitor for the treatment of hypertension, with the antihypertensives amlodipine, valsartan, hydrochlorothiazide (HCTZ) and ramipril in healthy volunteers."
67,ST Chiang; GR White; T Spangler; M Davis; VL Pascucci; BR Walker,,,6084123,0.9852206707000732,1984,Effects of guanabenz on gastrointestinal absorption of hydrochlorothiazide.
